Frequency	Mag [B/A]	Phase [B-A]
+8.43004816937577E+002	-2.88181685782941E+001	-9.19492080521919E+001
+8.92970579849534E+002	-2.83185859036870E+001	-9.18435371554550E+001
+9.45897864941690E+002	-2.78200084551043E+001	-9.17464610073388E+001
+1.00196220468093E+003	-2.73192262468765E+001	-9.16471483152087E+001
+1.06134953552407E+003	-2.68192766433106E+001	-9.15606003277456E+001
+1.12425681457303E+003	-2.63198276020230E+001	-9.14767945302510E+001
+1.19089267277984E+003	-2.58205970505592E+001	-9.13912965114787E+001
+1.26147810686771E+003	-2.53204266720945E+001	-9.13137280917581E+001
+1.33624721226304E+003	-2.48206905703483E+001	-9.12451680125718E+001
+1.41544795946902E+003	-2.43214149722676E+001	-9.11776073171626E+001
+1.49934301645572E+003	-2.38209734405455E+001	-9.11141294785679E+001
+1.58821061979407E+003	-2.33218893496751E+001	-9.10557856175216E+001
+1.68234549742285E+003	-2.28215732871702E+001	-9.09959651623735E+001
+1.78205984610901E+003	-2.23214929037395E+001	-9.09432817423570E+001
+1.88768436684315E+003	-2.18220974465129E+001	-9.08915871007476E+001
+1.99956936160384E+003	-2.13230396514319E+001	-9.08419706183013E+001
+2.11808589512835E+003	-2.08233440132728E+001	-9.07972263548999E+001
+2.24362702554277E+003	-2.03237093030433E+001	-9.07515833492077E+001
+2.37660910793274E+003	-1.98235197659989E+001	-9.07137031358917E+001
+2.51747317517823E+003	-1.93240309617208E+001	-9.06728209311057E+001
+2.66668640063182E+003	-1.88238699999671E+001	-9.06363712043290E+001
+2.82474364749139E+003	-1.83242498816472E+001	-9.05993689541510E+001
+2.99216911000576E+003	-1.78244670113221E+001	-9.05647355268796E+001
+3.16951805195623E+003	-1.73240643827961E+001	-9.05341948081964E+001
+3.35737864817978E+003	-1.68240105509188E+001	-9.05043160266578E+001
+3.55637393524116E+003	-1.63235482682187E+001	-9.04764291407345E+001
+3.76716387772340E+003	-1.58227753333442E+001	-9.04521552628714E+001
+3.99044755698944E+003	-1.53222227874991E+001	-9.04308871460257E+001
+4.22696548967393E+003	-1.48210930921084E+001	-9.04144912737030E+001
+4.47750208359438E+003	-1.43200951932267E+001	-9.03997332282156E+001
+4.74288823922680E+003	-1.38195766561666E+001	-9.03855853286294E+001
+5.02400410537335E+003	-1.33191633034884E+001	-9.03757141624505E+001
+5.32178199816132E+003	-1.28182102470885E+001	-9.03652209223640E+001
+5.63720949305421E+003	-1.23178230764662E+001	-9.03541880904084E+001
+5.97133270012935E+003	-1.18176049162768E+001	-9.03448239978931E+001
+6.32525973348482E+003	-1.13169644305871E+001	-9.03343510709715E+001
+6.70016438628144E+003	-1.08166989759584E+001	-9.03253227562172E+001
+7.09729002360845E+003	-1.03164107986812E+001	-9.03164749289420E+001
+7.51795370608333E+003	-9.81582556238582E+000	-9.03075913315619E+001
+7.96355055786152E+003	-9.31577145175976E+000	-9.03005515017705E+001
+8.43555839354268E+003	-8.81498308382202E+000	-9.02936463916632E+001
+8.93554261931840E+003	-8.31463773473062E+000	-9.02915906817557E+001
+9.46516142461594E+003	-7.81372666890851E+000	-9.02908847412950E+001
+1.00261712814562E+004	-7.31452127728763E+000	-9.02947382174700E+001
+1.06204327697639E+004	-6.81232090743036E+000	-9.02847899386763E+001
+1.12499167479506E+004	-6.33642227060213E+000	-9.02790429847839E+001
+1.19167108892336E+004	-5.83610979401768E+000	-9.02727085737903E+001
+1.26230266053701E+004	-5.33544945344583E+000	-9.02695134714633E+001
+1.33712063807675E+004	-4.83509686318342E+000	-9.02683385978613E+001
+1.41637315412943E+004	-4.33413705192467E+000	-9.02658642051760E+001
+1.50032304835564E+004	-3.83339335430406E+000	-9.02699209864194E+001
+1.58924873919310E+004	-3.33195150891128E+000	-9.02655019378826E+001
+1.68344514722683E+004	-2.83126651362207E+000	-9.02652943817658E+001
+1.78322467328836E+004	-2.33041626798184E+000	-9.02702005732749E+001
+1.88891823452797E+004	-1.82907409415165E+000	-9.02729112542136E+001
+2.00087636189593E+004	-1.32734483660891E+000	-9.02718065096171E+001
+2.11947036267260E+004	-8.25530150921179E-001	-9.02815519922851E+001
+2.24509355190292E+004	-3.19313999398391E-001	-9.02864162158986E+001
+2.37816255681924E+004	+1.83149336311324E-001	-9.02897766970687E+001
+2.51911869857866E+004	+6.85959153579031E-001	-9.02946544141753E+001
+2.66842945589735E+004	+1.18930055933389E+000	-9.02952479819726E+001
+2.82659001543604E+004	+1.69238327456043E+000	-9.03054975291043E+001
+2.99412491407831E+004	+2.20019404229485E+000	-9.02993935562662E+001
+3.17158977854859E+004	+2.70428825597489E+000	-9.03161506936097E+001
+3.35957316813897E+004	+3.20933699456219E+000	-9.03183326081379E+001
+3.55869852665639E+004	+3.71471586272212E+000	-9.03276738209884E+001
+3.76962625006372E+004	+4.22099175585609E+000	-9.03407855101371E+001
+3.99305587667203E+004	+4.72815793781893E+000	-9.03501130076349E+001
+4.22972840714793E+004	+5.23616606608518E+000	-9.03642788780616E+001
+4.48042876202998E+004	+5.74542655876740E+000	-9.03794397409558E+001
+4.74598838490470E+004	+6.25542819138641E+000	-9.03944807015570E+001
+5.02728799987547E+004	+6.76707007210727E+000	-9.04102299397877E+001
+5.32526053246956E+004	+7.28089215450296E+000	-9.04293121922238E+001
+5.64089420367015E+004	+7.79625292092604E+000	-9.04476949067642E+001
+5.97523580733490E+004	+8.31337703190980E+000	-9.04685783286047E+001
+6.32939418187054E+004	+8.83388530170270E+000	-9.04928431306325E+001
+6.70454388767714E+004	+9.35679962372174E+000	-9.05177627704111E+001
+7.10192910255818E+004	+9.88246772825613E+000	-9.05463208512123E+001
+7.52286774801579E+004	+1.04127412069810E+001	-9.05842701231319E+001
+7.96875586011563E+004	+1.09473172329031E+001	-9.06217133538231E+001
+8.44107221941741E+004	+1.14862796882890E+001	-9.06620079835998E+001
+8.94138325532618E+004	+1.20306536547140E+001	-9.07162980415244E+001
+9.47134824112964E+004	+1.25839343832082E+001	-9.07816157188959E+001
+1.00327247969506E+005	+1.31458453147319E+001	-9.08589814109191E+001
+1.06273747188649E+005	+1.37188827005573E+001	-9.09489270223498E+001
+1.12572701535178E+005	+1.43057559469343E+001	-9.10688234504999E+001
+1.19245001387151E+005	+1.49098845612708E+001	-9.12451254035993E+001
+1.26312775316831E+005	+1.55367729595964E+001	-9.15130354083682E+001
+1.33799463479729E+005	+1.61954187236270E+001	-9.19223223177522E+001
+1.41729895353489E+005	+1.68925188305320E+001	-9.26549546612156E+001
+1.50130372084447E+005	+1.76278991084272E+001	-9.40571322189642E+001
+1.59028753714941E+005	+1.83276644776745E+001	-9.68650586519877E+001
+1.68454551580688E+005	+1.86497735410108E+001	-1.01212238395851E+002
+1.78439026184638E+005	+1.83952485426521E+001	-1.02510819254575E+002
+1.89015290871916E+005	+1.85054493971121E+001	-9.93394118300648E+001
+2.00218421649685E+005	+1.91045551167314E+001	-9.65442039650625E+001
+2.12085573516144E+005	+1.98600971404809E+001	-9.49801445558000E+001
+2.24656103684466E+005	+2.06549317950309E+001	-9.41642510228506E+001
+2.37971702110344E+005	+2.14704486801610E+001	-9.37452895837677E+001
+2.52076529756046E+005	+2.23126754302204E+001	-9.35561354101699E+001
+2.67017365049508E+005	+2.31895926482658E+001	-9.35244270411319E+001
+2.82843759024226E+005	+2.41170914004290E+001	-9.36125940812448E+001
+2.99608199654437E+005	+2.51085249994198E+001	-9.38163395089927E+001
+3.17366285930615E+005	+2.61845432081330E+001	-9.41304847431325E+001
+3.36176912252615E+005	+2.73712739638426E+001	-9.45979590208164E+001
+3.56102463751962E+005	+2.87057732586760E+001	-9.52859778907458E+001
+3.77209023191126E+005	+3.02459070788162E+001	-9.62974910913940E+001
+3.99566590125901E+005	+3.20770083571489E+001	-9.78705187047922E+001
+4.23249313057778E+005	+3.43523663176627E+001	-1.00540496178269E+002
+4.48335735346228E+005	+3.73508800711210E+001	-1.05737664364431E+002
+4.74909055696457E+005	+4.16086872047852E+001	-1.18334770964033E+002
+5.03057404086532E+005	+4.66955998039248E+001	-1.59590296950546E+002
+5.32874134049006E+005	+4.40165219937773E+001	+1.40499371060340E+002
