Frequency	Mag [B/A]	Phase [B-A]
+2.52076529756046E+005	+2.26383864229116E+001	-9.36980331688751E+001
+2.67017365049508E+005	+2.35715174230922E+001	-9.36854970736708E+001
+2.82843759024226E+005	+2.45643058976704E+001	-9.38096136532681E+001
+2.99608199654437E+005	+2.56384242668159E+001	-9.40655035592435E+001
+3.17366285930615E+005	+2.68202846111821E+001	-9.44648439866864E+001
+3.36176912252615E+005	+2.81442861035561E+001	-9.50575681751841E+001
+3.56102463751962E+005	+2.96652492456312E+001	-9.59390884902237E+001
+3.77209023191126E+005	+3.14673820522785E+001	-9.72989088543229E+001
+3.99566590125901E+005	+3.36969856775106E+001	-9.95791096561190E+001
+4.23249313057778E+005	+3.66259109003837E+001	-1.03901485262820E+002
+4.48335735346228E+005	+4.08426161183704E+001	-1.14151744933354E+002
+4.74909055696457E+005	+4.67610263903549E+001	-1.50307854017088E+002
+5.03057404086532E+005	+4.48241461708958E+001	+1.39798341599640E+002
+5.32874134049006E+005	+3.93288209956743E+001	+1.17079455432051E+002
+5.64458132276360E+005	+3.57267337020646E+001	+1.09800089124174E+002
+5.97914146577090E+005	+3.31920268866831E+001	+1.06059619935530E+002
+6.33353133270078E+005	+3.11854984430004E+001	+1.03386991902445E+002
+6.70892625169401E+005	+2.94481306448732E+001	+1.01559146931222E+002
+7.10657121379958E+005	+2.79151780413797E+001	+1.00693494402370E+002
+7.52778500196699E+005	+2.65834306082289E+001	+1.00673056259441E+002
+7.97396456476814E+005	+2.54681274262251E+001	+1.01205439715571E+002
+8.44658964935417E+005	+2.45743654513736E+001	+1.01710211684266E+002
+8.94722770901248E+005	+2.38120716250593E+001	+1.01497207095005E+002
+9.47753910159959E+005	+2.30442098915431E+001	+1.00739005273438E+002
+1.00392825960907E+006	+2.22381524380226E+001	+1.00087803736532E+002
+1.06343212055077E+006	+2.14549953986405E+001	+9.98734067907767E+001
+1.12646283655715E+006	+2.07597492351026E+001	+9.98726533325511E+001
+1.19322944795685E+006	+2.01554918376077E+001	+9.94018907824727E+001
+1.26395338511389E+006	+1.95032013244992E+001	+9.79173158678083E+001
+1.33886920279782E+006	+1.86289235871511E+001	+9.62167677439660E+001
+1.41822535808070E+006	+1.75606141098545E+001	+9.56610403157144E+001
+1.50228503434093E+006	+1.64208253698945E+001	+9.67741661093468E+001
+1.59132701410654E+006	+1.52816317384742E+001	+9.97833887106729E+001
+1.68564660363283E+006	+1.42348244932087E+001	+1.05455216763624E+002
